"cDst","tDst","dX","dY","grp","grnd","vege","watr","stnX","indx","type"
2400,34.8552808312002,558913.581785683,6812251.34718919,"STN02400",177.8,NA,NA,"STN02400",NA,"RB01"
2425,-13.5566635149782,558945.515827646,6812211.90931876,"STN02425",177.3,NA,NA,"STN02425",NA,"LB01"
2425,29.5765595094418,558913.295310047,6812240.59291207,"STN02425",177.3,NA,NA,"STN02425",NA,"RB01"
2450,-21.1206121449559,558934.547597272,6812188.20229292,"STN02450",176.8,NA,NA,"STN02450",NA,"LB01"
2450,19.5152419254824,558904.192614282,6812215.22513588,"STN02450",176.8,NA,NA,"STN02450",NA,"RB01"
2475,-27.2531761092842,558924.777028183,6812166.69807528,"STN02475",176.5,NA,NA,"STN02475",NA,"LB01"
2475,6.76922595386397,558897.695196141,6812187.31565093,"STN02475",176.5,NA,NA,"STN02475",NA,"RB01"
2500,-29.0612150842338,558924.703715084,6812160.87269392,"STN02500",176.9,NA,NA,"STN02500",NA,"LB01"
2500,9.28521269593951,558886.357287304,6812161.06442606,"STN02500",176.9,NA,NA,"STN02500",NA,"RB01"
2525,-23.7765061364569,558907.217151897,6812124.4687668,"STN02525",176.9,NA,NA,"STN02525",NA,"LB01"
2525,15.4399090840215,558875.922452551,6812148.11626518,"STN02525",176.9,NA,NA,"STN02525",NA,"RB01"
2550,-39.2156768885563,558895.273268841,6812090.77160552,"STN02550",177.8,NA,NA,"STN02550",NA,"LB01"
2550,22.9143156059281,558857.746753374,6812140.28920954,"STN02550",177.8,NA,NA,"STN02550",NA,"RB01"
2575,-29.3660252202453,558853.920057001,6812084.38203696,"STN02575",177.6,NA,NA,"STN02575",NA,"LB01"
2575,16.5333062054932,558848.458036562,6812129.96007306,"STN02575",177.6,NA,NA,"STN02575",NA,"RB01"
2600,-27.6405205943951,558850.923468884,6812084.4065538,"STN02600",177.5,NA,NA,"STN02600",NA,"LB01"
2600,13.4128450641133,558820.256604737,6812111.70704197,"STN02600",177.5,NA,NA,"STN02600",NA,"RB01"
2625,-39.5327438676557,558827.02786834,6812052.60087564,"STN02625",177.8,NA,NA,"STN02625",NA,"LB01"
2625,38.4189745378446,558796.392843007,6812124.31645657,"STN02625",177.8,NA,NA,"STN02625",NA,"RB01"
2650,-30.6471253534398,558788.362764373,6812053.90937465,"STN02650",177.3,NA,NA,"STN02650",NA,"LB01"
2650,16.4799999999999,558788.5984,6812101.0365,"STN02650",177.3,NA,NA,"STN02650",NA,"RB01"
2675,-31.6667344862669,558763.358166328,6812053.01676551,"STN02675",177.8,NA,NA,"STN02675",NA,"LB01"
