"cDst","tDst","dX","dY","grp","grnd","vege","watr","stnX","indx"
29250,0,547740.9725,6801336.081,5,167.860000610352,NA,NA,"STN29250",51
29275,10,547716.901,6801324.0205,5,167.610000610352,176.206665039062,NA,"STN29275",56
29300,19,547693.5775,6801311.2955,5,167.770004272461,185.556671142578,NA,"STN29300",59
29325,6,547686.71,6801283.9625,5,167.726669311523,NA,NA,"STN29325",54
29350,0,547674.6065,6801261.2775,5,167.725997924805,167.940002441406,NA,"STN29350",51
29375,8,547652.4505,6801253.502,5,167.539993286133,176.910003662109,NA,"STN29375",55
29400,-6,547636.7255,6801232.169,5,167.419998168945,NA,NA,"STN29400",48
29425,-4,547618.717,6801222.8865,5,167.792007446289,NA,NA,"STN29425",49
29450,0,547599.1335,6801206.8415,5,167.585998535156,182.028823852539,NA,"STN29450",50
29475,6,547577.9995,6801192.783,5,167.447494506836,NA,NA,"STN29475",54
29500,6,547561.337,6801185.8105,5,167.669998168945,NA,NA,"STN29500",54
29525,4,547536.3295,6801183.9135,5,167.604995727539,NA,NA,"STN29525",53
29550,8,547511.346,6801188.016,5,167.757995605469,169.580001831055,NA,"STN29550",55
29575,4,547492.3125,6801190.7045,5,167.770004272461,176.402496337891,NA,"STN29575",52
29600,8,547478.4885,6801209.8725,5,167.619995117188,181.860000610352,NA,"STN29600",55
29625,2,547457.5335,6801224.7675,5,167.013336181641,181.885711669922,NA,"STN29625",52
29650,10,547447.121,6801248.8605,5,167.433334350586,182.273330688477,NA,"STN29650",56
29675,18,547436.7085,6801272.9535,5,167.001998901367,NA,NA,"STN29675",60
29700,24,547437.9485,6801284.4855,5,167.399993896484,175.688339233398,NA,"STN29700",63
