distance,angle,east,nrth,code,east_2,nrth_2,grp
54375.000000000000000,221.500350462544588,536588.394,6791414.651,"5366791",536000.000000000000000,6791000.000000000000000,"2"
54400.000000000000000,180.182104483278209,536577.449,6791393.788,"5366791",536000.000000000000000,6791000.000000000000000,"2"
54425.000000000000000,180.182106075857178,536577.369,6791368.788,"5366791",536000.000000000000000,6791000.000000000000000,"2"
54450.000000000000000,180.182106075857178,536577.290,6791343.789,"5366791",536000.000000000000000,6791000.000000000000000,"2"
54475.000000000000000,221.500193662998356,536562.722,6791324.304,"5366791",536000.000000000000000,6791000.000000000000000,"2"
54500.000000000000000,270.181906415807759,536544.135,6791310.088,"5366791",536000.000000000000000,6791000.000000000000000,"2"
54525.000000000000000,270.181771718025402,536519.135,6791310.167,"5366791",536000.000000000000000,6791000.000000000000000,"2"
54550.000000000000000,270.181637020265612,536494.135,6791310.246,"5366791",536000.000000000000000,6791000.000000000000000,"2"
54575.000000000000000,270.181637020265612,536469.135,6791310.326,"5366791",536000.000000000000000,6791000.000000000000000,"2"
54600.000000000000000,270.181502319207311,536444.135,6791310.405,"5366791",536000.000000000000000,6791000.000000000000000,"2"
54625.000000000000000,270.181367620876756,536419.135,6791310.484,"5366791",536000.000000000000000,6791000.000000000000000,"2"
54650.000000000000000,318.863078788735322,536401.225,6791326.103,"5366791",536000.000000000000000,6791000.000000000000000,"2"
54675.000000000000000,318.862967643683305,536384.778,6791344.932,"5366791",536000.000000000000000,6791000.000000000000000,"2"
54700.000000000000000,318.862967643683305,536368.332,6791363.760,"5366791",536000.000000000000000,6791000.000000000000000,"2"
54725.000000000000000,0.181026918269481,536360.985,6791385.987,"5366791",536000.000000000000000,6791000.000000000000000,"2"
54750.000000000000000,0.181025335137664,536361.064,6791410.987,"5366791",536000.000000000000000,6791000.000000000000000,"2"
54775.000000000000000,318.862699032862338,536359.679,6791435.440,"5366791",536000.000000000000000,6791000.000000000000000,"2"
54800.000000000000000,318.862699032862338,536343.233,6791454.268,"5366791",536000.000000000000000,6791000.000000000000000,"2"
54825.000000000000000,318.862281043942403,536326.786,6791473.097,"5366791",536000.000000000000000,6791000.000000000000000,"2"
54850.000000000000000,318.862281043942403,536310.339,6791491.925,"5366791",536000.000000000000000,6791000.000000000000000,"2"
54875.000000000000000,270.180684648986755,536286.961,6791495.558,"5366791",536000.000000000000000,6791000.000000000000000,"2"
54900.000000000000000,270.180549959236146,536261.961,6791495.637,"5366791",536000.000000000000000,6791000.000000000000000,"2"
54925.000000000000000,270.180415265629961,536236.961,6791495.715,"5366791",536000.000000000000000,6791000.000000000000000,"2"
54950.000000000000000,270.180280574001017,536211.961,6791495.794,"5366791",536000.000000000000000,6791000.000000000000000,"2"
54975.000000000000000,221.498685767019111,536191.024,6791486.816,"5366791",536000.000000000000000,6791000.000000000000000,"2"
55000.000000000000000,221.498685767019111,536174.459,6791468.092,"5366791",536000.000000000000000,6791000.000000000000000,"2"
55025.000000000000000,270.180012766369828,536150.787,6791465.210,"5366791",536000.000000000000000,6791000.000000000000000,"2"
55050.000000000000000,270.179878074340138,536125.787,6791465.289,"5366791",536000.000000000000000,6791000.000000000000000,"2"
